ID,response
11,"There was a man named Samuel who was walking home from a bar one night and somehow managed to get himself into a bar fight. He did not drink. Sam simply goes to bars to people watch. Sam enjoyed watching guys get plastered off their asses and attempt to bring girls home with them. It was not until one night, when he was watching an extremely trashed man hitting on a tiny little girl who was probably in the bar with a fake ID. This tall man spotted Sam staring at them so he went over there. 
“What the hell are you doing staring at us? What’s your problem, man?” slurred the man.
Sam smirked and turned the other way to leave. He clearly did not want any part of this. But the man pressed on. He kept trying to get Sam’s attention but Sam would not give it to him. This man got fed up and slammed a glass beer bottle on the side of the table so that he could have the sharp part aimed at Sam. 
“Okay let’s take it easy here, I was not intentionally staring at you” Sam said panicked. 
With the broken glass just millimeters from his face, this man slit a tiny little X mark right above his left temple. 
“Mind your own business from now on” the man said in the shadiest voice ever with a malicious smirk on his face. 
Sam ran home after that incident not because he was scared, but because he had a throbbing headache. The worst headache any one could possibly have. Sam figured he would just sleep it off before going to the doctors. It was probably the crazy bar fight that had Sam’s head spinning. 
When Sam woke up in the morning, everything felt eerily calm. Everything just seemed too normal. But he was not going to be the one to question normal. If his headache was gone, Sam could just go back to people watching. Maybe not back at the bar though, he’d probably just go to the local park. 
As Sam made his way over to the closest park by his house, his head started throbbing again. It was as if every time Sam started staring at someone for more than 20 seconds, a rush of thoughts would infiltrate his head. But when Sam looked away at an inanimate object, his migraine would suddenly disappear. 
It seemed as if Sam had the power to read people’s minds. ‘Is this what the guy meant the other night? Is this why he slit an X right above my temple?’ Sam thought. That is when Sam realized that he now has the power to read people’s minds. If only he knew how to control it…"
12,"What if one day you woke up and discovered that you could snap your fingers and the meal you were thinking of would appear just like that! Amanda discovered this one morning when she was joking with her sister that she wished they had an amazing brunch and jokingly snapped her fingers and boom the famous brunch she was picturing appeared. She thought this was great and even better was that when they finished eating it would just disappear and there would be no dishes or food to clean up. The moment she realized that her power was even more amazing then she originally thought it was, getting food whenever she wanted, occurred on a Friday afternoon. Right after they were done eating dinner on Friday and the food disappeared along with the dishes, Amanda went for a night stroll with her sister and found that the food they had not finished and disappeared traveled to a person in need. Tonight the person in need was a homeless man outside their apartment. She was shocked to see the exact meal that she had eaten was also what the homeless man was eating. Not only was she surprised, but the homeless man seemed very happy with this unexpected meal from who knows where. She realized that her power was not selfish, but instead that it could help people in need. Instead of just snapping her fingers when she was hungry, she could snap them a little more often and send the food to someone in need. She realized that all the years of her parents telling her to finish her dinner because other kids are starving in the world would not be a thing anymore and the food she did not need herself could be sent to those families in need. While Amanda could not turn invisible or fly, like she always thought powers were, she was very satisfied and proud of her power because besides getting what she wanted, she was able to help a greater society. Instead of Superman saving the world, she was giving people a basic need of survival, and with that she was satisfied. Amanda realized an important aspect of powers: a power is greater if it helps not only you, but the people surrounding you and all over the world.  "
13,"I’ve been on this road for a while now. I think I missed my exit. I look down at how much gas I’ve used. I definitely missed my exit. I stop to get gas and I’m on the road again. As I merge onto the highway one more time, I realize there’s no one on the road but me. “Where am I?” I thought. This isn’t remotely close to where I’m supposed to be going. “What’s Bellevue?” I ask myself. I pass another sign. “Washington?! How the hell did I end up here?” I see a light. Someone’s definitely got their brights on. They’re coming head on. Five seconds later everything is black. I can’t see anything. Am I dead?
I woke up in a hospital. I was familiar with this hospital. I knew where I was. A doctor walks by… “Excuse me!! How did I get here? I was in Washington last time I checked.” The doctor, one of the most beautiful women I have ever seen, comes into my room and tells me that I was in a car accident not even five miles down the road. “That’s impossible,” I thought. I cannot remember anything that has happened to me. I don’t even remember being in this city. “That’s impossible,” I tell the doctor, “I haven’t been in Greenville in two years.” She looks at me and says, “You can leave all you want but you will always come home.” Then disappears into thin air. I never saw that woman again. 
I slept for three whole days after that. I woke up in the whitest room I’ve ever seen. A man walks by. It was my brother. My brother has been dead for five years. He passed away while at college in Washington. No one knows how…or why. 
“I’m not in Greenville, am I, Todd?” I asked. He looks at me and smiles. He doesn’t say a word. He holds out his hand and I follow him. The white room never ends. It just keeps on going and going. Everyone is beautiful. I feel more alive than I ever have.
Sometimes I visit my parents when they’re praying for Todd and I. They don’t get sad anymore and I am proud of them for that. I’m never leaving home ever again. "
14,"6:20 am
She woke up frowning. The light from the early morning sunset pierced her eyes, a flaming reminder of how yesterday’s discovery had thrown her entire schedule off, even her ritual of closing the blind to ward off the blinding sun.
6:27 am
She would not be falling back asleep. Stepping gingerly onto the cold linoleum floor, she waited for the buzz to come swarming back to her ears in full force.
6:28 am
No buzzing. Maybe yesterday was just a fluke.
7:21 am
She sat at her kitchen counter, mushing her soggy Corn Flakes into the lukewarm milk. The TV remote sitting just to the left of her elbow taunted her. Her left arm twitched, as if it wanted to grab for the remote and switch on the first channel available, but she held off. The result was a counter drenched in soggy cereal and tepid milk.
7:24 am
She threw down the paper towel, accidently flinging more Corn Flakes across the newly clean counter. Her cracked flat screen TV blared to life as the morning newsman gave his daily weather report. Her finger trembled over the channel button. Another twitched switched the channel to a Spanish documentary. Except she understood almost every word as if it was native English. She held her finger down again and jumped channels until she stopped at the Vietnamese cooking show. She gripped the remote in her hand tighter as her brain automatically translated each word for her. 
A few channels over was a Portuguese sports show. She understood it just as well as every channel before.
7:32 am
A Japanese singing contest. No problem.
7:38 am
A Russian singing contest. Less musically appeal, just as comprehendible.
7:45 am
She stares at the crack in the now black screen. The twitch returned to her left hand so she dropped the remote down. The silence seemed to echo throughout her apartment. 
7:50 am
Was it really so bad to understand every language? Perhaps not. It could come in handy when traveling. Or when ordering at an ethnic restaurant. Maybe she could even get a job as an interpreter. 
But the problem wasn’t the power itself; more that a skill such as this shouldn’t pop up after a bad headache and 5 baby aspirin. "
15,"I was dying. 
There was no other way to describe the pain coursing through my veins, the pounding in my head. My mouth was dry, and I felt my knees buckle into the snow before I could stop them. I placed my palms against the sides of my head and tried to breathe. 
Through bleary eyes, I tried to take in my predicament. Not only did it appear I was about to kick the bucket, but I was now entirely alone. The merry band of weirdos who’d carted me into the middle of nowhere had conveniently vanished, leaving me to battle an invisible foe. After a few agonizing minutes, the pain began to ebb, and it appeared I was no longer in danger of spontaneously combusting. I lifted my hand to rub my eyes and nearly screamed. 
A swirl of orange danced across my palms, lighting my across my fingers. They flickered with the wind but refused to disappear. Certain I was likely already dead, I examined the strange flickers for a few moments. 
It didn’t take long to realize I was on fire. 
With a screech, I shoved my hands into the snow, waiting to feel the burn of melting flesh. Instead, I felt liquid pool around my wrists. The snow around my hands had melted, and the orange swirls continued to merrily dance. I sat back on my heels and took a second look. I didn’t smell anything rancid, and I wasn’t in pain. So how the hell was I on fire?
Perfect. Of all the disastrous scenarios I’d conjured for this hellish trip, I’d somehow missed this one. I still wasn’t entirely sure I wasn’t dead. 
A harsh gust of wind blew through the trees, and I realized night was falling. I was alone, I was hungry, and I was potentially a zombie. None of these boded well for the coming hours. The pool of liquid my hands had caused stirred my interest, however. Maybe if this fire didn’t hurt me, it could be of use. At the very least, it might save me from some nasty frostbite. 
Invigorated, I hoisted myself up and leaned against a tree as the world spun. A wisp of smoke drifted from the bark, and I retreated with a yelp. Right, I was apparently a fire hazard now as well. At least that was something new I could add to my college application. Maybe I could figure out how to light a fire with these bad boys too. The world was my oyster-better yet, the world was my inferno. 
My parents thought this camping trip would give me a spark. Who knew for once they’d be right? "
16,"This man, seeming so important, the average Joe, noticed something strange about himself one morning. Nothing he had done the day before was out of the ordinary. What he had done the day before was what he has always done for the past 5 years or so. He gets up, gets ready and goes to work. The same numbing routine at work. Everything scheduled to the last minute when he clocks out. But today, today from the moment he heard his alarm, was unusual. He got up the same way he has always rose every morning, first taking out his left foot while yawning, then his right. He proceeded to on, yet everything he did seemed strange, even though he had done today what he has been doing for the past 5 years. As he went on to shower he noticed that no matter how hot he would raise the water to him, that it did not feel hot. How can that be? He has had the same setting in the water temperature in his shower for the past 5 years. Knowing that he did not want to deviate from his routine, he decide that in his scheduled free time for the day, he would look into it. Next, making his breakfast he notice that the once always boiling hot oatmeal that he was used to, now was too cold as well. How could that be? He did not do anything different from any of the other times that he has made oatmeal. None of this was making any sense to him. But after all, it still seemed insignificant. Throughout the day he continued colder. He thought, “Maybe, this is just a cold?” His warmed toned skin by the end of the day now seemed a faint blue.  All these changes frightened him. After all he was a man that liked for everything to be normal, expected. He made "
17,"Katley was thinking. She had just went on her coffee run, and from time to time she had received a free iced coffee because she was one of the regulars. But she had been noticing something was a bit different. Her mom had made her breakfast upon a single request – and considering that her mother had not used the stove in five years, it was a strange occurrence. Suspicious, almost. Katley was a bit confused, but pleasantly surprised. 
Upon realizing that she was getting her way with just about everything, she decided to put it to the test. She called her friend Bryan who normally would never treat her to lunch, and asked “Hey, can we grab a bite? And would you mind spotting me today?” He replied with an enthusiastic “Yeah, of course!” and picked her up within the hour.
Katley was amazed. It was too much of a coincidence. Was she having a good day, or did she have a unique power of persuasion? She rolled her eyes at the thought, but nonetheless pondered. 
Throughout the day, she asked simple tasks of her peers to complete, and there was not one person who refused a request. She was beginning to think that it was not just luck – she had some sort of amazing talent. 
The week continued on like this, and left and right she was getting favors handed to her. She was enjoying this unique ability, but she was not sure to what extent her power would work. A smirk spread across her face in thinking about all the possibilities. Sure she could get a free lunch from time to time, but in really thinking about it, she realized she had complete and total control over everyone. Anyone in her life had become her pawn, and she realized that she could do just about anything. But she stopped… where would she start? 
She could change people’s votes for the upcoming election if she asked them to. She could go to concerts in asking for a free ticket. She could get her best friend to break up with her awful boyfriend. She could get her mom to take up cooking lessons. The real question was whether or not she would use her power for her own benefit, for the good of people…. "
18,"Every day, Sonny takes the same path the school; he walks down the road, through the ally, past the big oak tree, and enters the east side of campus. It’s one of his highlights every day. Having the time to be outside and enjoy the fresh air is amazing. 
However, on Wednesday morning, just as sonny looked over the gate to see the big oak, he took in a breath of fresh air and suddenly felt something strange. It was as if he wanted to choke on the air. It was an unpleasant feeling, but not unbearable, so he kept walking. He then started noticing some other strange things. It was as if he could feel the air more and sense the wind and hear nature’s voice around him. 
Sonny has always been close with the outdoors, but this was different. As he went through the day, his connection with air grew stronger and stronger. As he walked home from school and passed that big oak tree again, he definitely felt something weird. As Sonny breathed out, he suddenly felt the spirit of the tree. There was no real conversation, but from within Sonny recognized that he was biologically different from yesterday. 
His heart rate started increasing as he tried to catch his breath, only he couldn’t really breathe like before. It was as if oxygen was no good to him anymore. He froze in place and looked around. 
Feeling a little betrayed by this new connection he felt with his surroundings, he tried to block it out. To his despair, he could not stop feeling everything around him. He went back to the oak and sat down trying to make sense of things. As he sat and listened and felt, he found some equilibrium within himself and this tree. He realized that he had stopped uptaking oxygen and started breathing carbon dioxide. For some reason, he was able to hold in the carbon without it becoming toxic to his body. 
Sonny had become a human storage for carbon emissions. The next day on his way to school, he could feel everything that was being put out by the people surrounding him. From small scale light sources to huge pollution factors like diesel fuel trucks. Luckily, Sonny has the ability to withstand the carbon, but the amount of work it puts on his body may not last. 
Sonny began searching for new ways to store the extra carbon he had been taking in and as time went on, he became able to convert those emissions into clean air. Wherever Sonny went, he was simply breathe in toxic air and breathe out clean air, slowly cleaning up the streets of his community. With the help of environmental groups and renewable energy, Sonny was able to purify his entire city. 
As Sonny grows older, he commits himself to encourage growth of renewables, decrease use of fossil fuels, and traveling to as many places as possible so that he could absorb all of the atmospheric toxins and release purified air. "
19,"One day, Brian found out that he has the ability to change other people’s minds. It was the day before his midterm. He wrote an email to his TA, arranged an appointment and made her give him all the answers for the exam. After getting good scores on it, Brian walked down the street wondering what to eat. He goes into wood stock’s pizza. He orders a family size pizza with a lot of toppings. After that, he changes the cashier’s mind, just paying the price for a small size pizza. When Brian needs money for his rent, skateboard or a plane tickets, he would go downtown, making people there give him some pocket money. He could even make his favorite baseball team win all the games by messing up the opponents’ minds. His life was so much more comfortable than before. It seemed that he no longer has anything to worry about. As he’s been fully enjoying his new sweet lifestyle, Brian thought it would be right of him to use his ability for the world peace. He wanted to turn dictators and terrorists’ minds to stop posing threat to the world. However, to change their minds, Brian has to meet them in person, which is very dangerous for him. He started to think of ways to meet those people. He decided to visit his own nation’s president first to find solution. On his way to meet the president, Brian got into a car accident and lost his memory. What a poor guy. "
20,"As I lay there dreading the fact that I have to wake up in a few hours for school in which in fact I hate with a passion,  I get up to go to the bathroom. When I get up and go to open the door of my room I notice that it swings open by itself. I didn’t really think about it for a second being extremely tired and half asleep and carried on to the bathroom. When again I noticed that the bathroom door swung open right when I approached it. This time being a lot more awake I was startled and jumped back. Did I just move that with just my brain? I thought to myself, and then just out of curiosity and lots of dumb television shows that I would always watch racing through my head I tried to close the door shut. I didn’t believe my eyes when the door slowly closed shut as the thought had just passed through my mind of it closing. I gasped with my mouth wide open trying to realize if that really just happened or if I was just still dreaming. I went into to the bathroom and looked at myself in the mirror to see if it really was me and if there was anything wrong on my face or anywhere else. 
After staring at myself for a while I decided, that if I had just opened and closed those doors maybe I can somehow move objects with my mind. So I decided to test it again, I leered at my toothbrush and nothing happened, then out of nowhere it rose up and plunged itself right into my open grasp. Unbelievable I thought to myself and so I still found it hard to believe and tried moving anything else I could in the bathroom without making too much noise to wake anybody else up. I turned on and off the showers and still couldn’t believe that I can do such things. After a while of doing simple things for a good while I heard my brother waking up and walking down the hall so I hurried back into my room closing the door behind me with just my mind. I sat down at the edge of my bed and stared blankly onto the hard wood floor. Why me? I thought to myself why did I get this how can I say power. Out of all the people in the entire world, me. I thought to myself that maybe I’m just going crazy and just not realizing that this is all a giant dream and I will wake up and have to go to class in a bit, and this power will just go away. So I laid back down on my bed staring at the ceiling trying to fall back to sleep, trying to comprehend what had just happened and if it really did happen. "
21,"On a quiet day in the sunny small town of Applewood, a young girl and her mother were taking their daily walk around the neighborhood.  The young girl, Chloe, had just turned 8, and was feeling very giddy about getting out of the house and walking around.  It was that time of year where you could almost taste the spring, but there was still the chill of winter in the air.  Many of the trees were starting to get their green leaves back and this is what Chloe loved.  Ever since she was small, she had always felt at home in nature; she would sit outside in the grass as a toddler just soaking up the sun and watching the birds fly around in her trees.  Chloe was admiring a hydrangea bush that someone had neglected.  She was just thinking to herself, wouldn’t it just be great if the flowers were as bold and beautiful as they were last summer.  The little girl touched dried up bud and suddenly it bloomed, she gasped and stepped back.  Not only did the bud bloom but the whole bush nearly doubled in size and regained its color and luster.  Chloe was astounded.  “Did I just do that?” she thought, that’s impossible.  Her mother looked over her shoulder and said, “Keep up Chloe, Mrs. Noodle doesn’t like it when you mess with her lawn.”  Chloe caught up to her mom, she decided it would be best to stay quiet about what she had just seen.  As their walk progressed, Chloe began to touch all the plants she loved, each one blooming in turn; leaving in her path a glorious walk of different flowers and trees.  She looked behind her, proud of her accomplishment and new found green thumb.  From that day fourth she knew her life was about to change."
